1,1,비행
2,1,에너지발사
3,1,자비스 일 시키기
4,2,숨가쁜 디딤돌 던지기
5,2,강력한 힘
6,2,고양이 보호하기
7,3,망치로 적들 때리기
8,3,번개 날리기
9,4,거미줄로 움직이기
10,4,벽타기
11,4,스파이더센스
12,5,검술
13,5,근접전투
14,5,모든 언어 구사
15,6,초음파로 상대 위치 파악
16,6,무장 해제
17,7,힘과 크기 변화
18,7,강인한 육체
19,8,기계장치 장착
20,8,팬서 슈트 착용
21,9,유연한 몸놀림
22,9,도둑질
23,9,높은 점프력
24,10,비행
25,10,초인적인 힘
26,10,열광적인 팬들
27,11,검술
28,11,체력 단련
29,11,몰입력
30,12,초고속 이동
31,12,시간 조작
32,13,수중 생활 적응
33,13,강력한 힘
34,14,초인적인 체력
35,14,무기 사용
36,15,밤의 추적자
37,15,소리 없는 발걸음
38,15,늑대와 대화하기
39,16,비행
40,16,초인적인 힘
41,16,슈퍼맨의 사촌 여동생
42,17,큰 몸집
43,17,강력한 힘
44,17,전기 방출
45,18,파워 링으로 무기 생성
46,18,힘의 추출
47,19,물의 힘으로 공격
48,19,수중생활
49,20,술을 마셔도 괜찮은 능력
50,20,냉철한 분석력
51,21,강력한 힘
52,21,비행
53,21,열광적인 팬들
54,22,헬블레이저
55,22,능력자
56,22,요술
57,23,컴퓨터 제어
58,23,기계 제어
59,23,초능력자 제어
60,24,금속 재질로 된 몸
61,24,열광적인 팬들
62,25,광기
63,25,유머 감각
64,25,흉기 사용
65,26,비즈니스 역량
66,26,발명
67,26,거대 기계
68,27,비행
69,27,초인적인 힘
70,27,레이저 눈
71,28,뇌파 조작
72,28,초능력자 제어
73,28,컴퓨터 제어
74,29,무기 사용
75,29,복수심
76,29,비밀결사원
77,30,초능력자
78,30,마법
79,30,악령
80,31,초인적인 힘
81,31,비행
82,31,전기 방출
83,32,초인적인 체력
84,32,깃털로 귀를 보호
85,33,마법 사용
86,33,전신 봉인
87,34,초인적인 힘
88,34,비행
89,34,날씨 조절
90,35,훌륭한 체력
91,35,재능 있는 발명가
92,35,거대한 부동산 자산
93,36,민첩성
94,36,교활함
95,36,집고 얻는 습격
96,37,초고속 이동
97,37,빠른 사고
98,37,시간 조작
99,38,초능력자
100,38,자신을 2개로 분리
101,39,악마의 힘
102,39,불안정한 정신 상태
103,39,유령
104,40,인간형 냉동기
105,40,인간형 롤러블레이드
106,41,피부가 단단하고 뼈가 단단함
107,41,자연 발생 독소 제거
108,42,강한 힘
109,42,전기 방출
110,43,초인적인 힘
111,43,비행
112,43,불꽃방사
113,44,인간형 파리
114,44,강력한 자극제 사용
115,45,초인적인 체력
116,45,악마의 힘
117,46,얼음과 눈의 힘
118,46,차가운 마음
119,47,동물 통제 능력
120,47,초인적인 힘
121,48,인간형 폭발물
122,48,동생의 복수심
123,49,초인적인 체력
124,49,유전자 조작
125,50,초인적인 체력
126,50,붉은 전류
127,51,수중 호흡
128,51,해양 생물 통제 능력
129,52,초인적인 두뇌
130,52,마음 읽기
131,53,에너지 관련 능력
132,53,뇌파 제어
133,54,초인적인 체력
134,54,인간형 날개
135,55,금속 조작 능력
136,55,초인적인 체력
137,56,몸의 크기를 자유자재로 변경
138,57,초인적인 체력
139,57,자기 치유 능력
140,58,초인적인 체력
141,58,방패 사용
142,58,전략적인 사고
143,59,거미같은 능력
144,59,슈트
145,60,초인적인 힘
146,60,거대한 몸집
147,60,분노
148,61,체육관련 능력
149,61,격투술
150,61,스파이
151,62,초인적인 체력
152,62,검 사용
153,62,뱀파이어 사냥
154,63,에너지 관련 능력
155,63,비행
156,64,비행
157,64,에너지발사
158,64,자비스 일 시키기
159,65,초인적인 능력
160,65,검 사용
161,65,팬서의 힘
162,66,분자 크기 조절
163,66,개미들과 의사소통
164,67,체육관련 능력
165,67,기계 팔
166,68,에너지 관련 능력
167,68,초인적인 두뇌
168,68,현실 조작
169,69,우주선 조작
170,69,음악적 재능
171,70,신의 능력
172,70,변신
173,71,마법 사용
174,71,초인적인 두뇌
175,72,사자의 능력
176,72,방패 사용
177,73,초인적인 체력
178,73,인간형 날개
179,74,초인적인 힘
180,74,비행
181,74,열광
182,75,초인적인 체력
183,75,무기 사용
184,75,비행
185,76,수중 탐사 능력
186,76,물고기와 의사소통
187,77,초인적인 힘
188,77,전기발사
189,78,철물 사용
190,78,검술
191,78,스텔스 능력
192,79,반지의 능력
193,79,에너지 발사
194,80,체계 조작
195,80,미래 기술 사용
196,81,초인적인 체력
197,81,무적
198,81,비속어 사용
199,82,거미줄 발사
200,82,초인적인 능력
201,82,건강한 신체
202,83,초인적인 능력
203,83,무기 사용
204,83,실내에서 감각 사용
205,84,우주선 조작
206,84,무기 사용
207,84,개성 있는 성격
208,85,거미줄 발사
209,85,초인적인 능력
210,85,미래 예지
211,86,초인적인 능력
212,86,에너지 관련 능력
213,86,철물 사용
214,87,검술
215,87,미사일 발사
216,87,복수
217,88,광기
218,88,불안정한 성격
219,88,트릭 사용
220,89,지적 능력
221,89,힘의 원천 조작
222,90,에너지 발사
223,90,초인적인 능력
224,90,조직 운영
225,91,전문 요원
226,91,싸우기
227,91,건강한 육체
228,92,우주선 조종
229,92,발사체 제어
230,93,강력한 힘
231,93,거대한 몸무게
232,94,초인적인 청력
233,94,민첩성
234,94,주먹질
235,95,물고기와 대화
236,95,수중생활
237,96,날씨 조종
238,96,번개 던지기
239,97,강철같은 피부
240,97,거대한 몸무게
241,98,모양 변환
242,98,추적 능력
243,99,무한한 능력
244,99,초능력
245,100,무기 사용
246,100,스텔스 능력
